Time Left,Score,Play Type,Player 1 Involved,Player 2 Involved,Player 3 involved,Play Result
19:46,,Jumper MISSED,PAOLO BANCHERO,N/A,N/A," Jumper MISSED by Duke's Banchero, Paolo"
19:42,,Defensive REBOUND,TYTY WASHINGTON JR.,N/A,N/A,"UK Defensive REBOUND by Washington jr., Tyty "
19:35,,Jumper MISSED,KEION BROOKS JR.,N/A,N/A,"Jumper MISSED by UK's Brooks jr., Keion "
19:31,,Offensive REBOUND,OSCAR TSHIEBWE,N/A,N/A,"UK Offensive REBOUND by Tshiebwe, Oscar "
19:30,,Jumper MISSED,OSCAR TSHIEBWE,N/A,N/A,"Jumper MISSED by UK's Tshiebwe, Oscar "
19:26,,Defensive REBOUND,WENDELL MOORE JR.,N/A,N/A," Duke Defensive REBOUND by Moore jr., Wendell"
19:23,,Turnover,WENDELL MOORE JR.,N/A,N/A," Duke Turnover by Moore jr., Wendell"
19:23,,,KELLAN GRADY,N/A,N/A,"UK Steal by Grady, Kellan "
19:17,,Layup MISSED,SAHVIR WHEELER,N/A,N/A,"Layup MISSED by UK's Wheeler, Sahvir "
19:13,,Defensive REBOUND,TREVOR KEELS,N/A,N/A," Duke Defensive REBOUND by Keels, Trevor"
19:12,0-2,Layup,WENDELL MOORE JR.,N/A,N/A," Layup GOOD by Duke's Moore jr., Wendell"
19:12,,Assist,TREVOR KEELS,N/A,N/A," Duke Assist by Keels, Trevor"
18:39,,3 Pointer MISSED,TYTY WASHINGTON JR.,N/A,N/A,"3 Pointer MISSED by UK's Washington jr., Tyty "
18:35,,Offensive REBOUND,OSCAR TSHIEBWE,N/A,N/A,"UK Offensive REBOUND by Tshiebwe, Oscar "
18:34,,Layup MISSED,OSCAR TSHIEBWE,N/A,N/A,"Layup MISSED by UK's Tshiebwe, Oscar "
18:34,,,MARK WILLIAMS,N/A,N/A," Duke Block by Williams, Mark"
18:25,,Offensive REBOUND,N/A,N/A,N/A,UK Offensive REBOUND by team 
18:24,,Foul,MARK WILLIAMS,N/A,N/A," Foul on Duke's Williams, Mark"
18:24,1-2,Free Throw,TYTY WASHINGTON JR.,N/A,N/A,"Free Throw GOOD by UK's Washington jr., Tyty "
18:24,,Free Throw MISSED,TYTY WASHINGTON JR.,N/A,N/A,"Free Throw MISSED by UK's Washington jr., Tyty "
18:21,,Defensive REBOUND,PAOLO BANCHERO,N/A,N/A," Duke Defensive REBOUND by Banchero, Paolo"
18:17,1-4,Jumper,TREVOR KEELS,N/A,N/A," Jumper GOOD by Duke's Keels, Trevor"
17:53,3-4,Layup,OSCAR TSHIEBWE,N/A,N/A,"Layup GOOD by UK's Tshiebwe, Oscar "
17:53,,Assist,SAHVIR WHEELER,N/A,N/A,"UK Assist by Wheeler, Sahvir "
17:38,,Jumper MISSED,TREVOR KEELS,N/A,N/A," Jumper MISSED by Duke's Keels, Trevor"
17:38,,,OSCAR TSHIEBWE,N/A,N/A,"UK Block by Tshiebwe, Oscar "
17:33,,Defensive REBOUND,KEION BROOKS JR.,N/A,N/A,"UK Defensive REBOUND by Brooks jr., Keion "
17:31,,Turnover,KEION BROOKS JR.,N/A,N/A,"UK Turnover by Brooks jr., Keion "
17:22,3-6,Jumper,PAOLO BANCHERO,N/A,N/A," Jumper GOOD by Duke's Banchero, Paolo"
17:04,6-6,3 Pointer,SAHVIR WHEELER,N/A,N/A,"3 Pointer GOOD by UK's Wheeler, Sahvir "
17:04,,Assist,OSCAR TSHIEBWE,N/A,N/A,"UK Assist by Tshiebwe, Oscar "
16:58,,Turnover,WENDELL MOORE JR.,N/A,N/A," Duke Turnover by Moore jr., Wendell"
16:58,,Subbing out,MARK WILLIAMS,N/A,N/A," Subbing out for Duke - Williams, Mark"
16:58,,Subbing in,THEO JOHN,N/A,N/A," Subbing in for Duke - John, Theo"
16:48,,Subbing out,TREVOR KEELS,N/A,N/A," Subbing out for Duke - Keels, Trevor"
