Time Left,Score,Play Type,Player 1 Involved,Player 2 Involved,Player 3 involved,Play Result
20:00,,,N/A,N/A,N/A,(Blue Devils gains possession) 
19:43,2-0,,Mark Williams,Wendell Moore,N/A,Mark Williams makes two point alley-oop dunk (Wendell Moore Jr. assists) 
19:43,2-2,,Khalid Moore,Moses Wright,N/A, Moses Wright makes two point dunk (Khalid Moore assists)
18:55,,,Matthew Hurt,N/A,N/A,Matthew Hurt misses three point jump shot 
18:53,,,Moses Wright,N/A,N/A, Moses Wright defensive rebound
18:46,,,Jordan Usher,N/A,N/A, Jordan Usher misses three point jump shot
18:44,,,Mark Williams,N/A,N/A,Mark Williams defensive rebound 
18:15,,,Wendell Moore,N/A,N/A,Wendell Moore Jr. misses two point jump shot 
18:13,,,Michael Devoe,N/A,N/A, Michael Devoe defensive rebound
17:50,,,Jose Alvarado,N/A,N/A, Jose Alvarado misses three point jump shot
17:48,,,DJ Steward,N/A,N/A,DJ Steward defensive rebound 
17:42,,steal,DJ Steward,Jose Alvarado,N/A,DJ Steward turnover (bad pass) (Jose Alvarado steals) 
17:33,2-4,,Khalid Moore,Jose Alvarado,N/A, Khalid Moore makes two point jump shot (Jose Alvarado assists)
17:18,5-4,,Wendell Moore,DJ Steward,N/A,Wendell Moore Jr. makes three point jump shot (DJ Steward assists) 
16:47,5-6,,Moses Wright,Jordan Usher,N/A, Moses Wright makes two point fadeaway jump shot (Jordan Usher assists)
16:19,,block,Wendell Moore,Moses Wright,N/A,Moses Wright blocks Wendell Moore Jr.'s two point jump shot 
16:17,,,Khalid Moore,N/A,N/A, Khalid Moore defensive rebound
16:08,5-8,,Jordan Usher,N/A,N/A, Jordan Usher makes two point driving layup
16:08,,,Mark Williams,Jordan Usher,N/A,Mark Williams shooting foul (Jordan Usher draws the foul) 
16:08,,,Jordan Usher,N/A,N/A, Jordan Usher misses regular free throw 1 of 1
16:08,,,Matthew Hurt,N/A,N/A,Matthew Hurt defensive rebound 
16:02,,,Jeremy Roach,Michael Devoe,N/A, Michael Devoe personal foul (Jeremy Roach draws the foul)
15:52,,,Matthew Hurt,Khalid Moore,N/A, Khalid Moore personal foul (Matthew Hurt draws the foul)
15:50,,timeout,N/A,N/A,N/A,TV timeout 
15:47,7-8,,Mark Williams,Jeremy Roach,N/A,Mark Williams makes two point hook shot (Jeremy Roach assists) 
15:27,,turnover,Jordan Usher,N/A,N/A, Jordan Usher turnover (bad pass)
15:14,10-8,,Matthew Hurt,N/A,N/A,Matthew Hurt makes three point step back jump shot 
14:42,,block,Mark Williams,Jordan Usher,N/A, Mark Williams blocks Jordan Usher's two point dunk
14:40,,,N/A,N/A,N/A, Yellow Jackets offensive rebound
14:40,,,Jose Alvarado,N/A,N/A, Jose Alvarado misses two point jump shot
14:39,,,N/A,N/A,N/A, Yellow Jackets offensive rebound
14:39,,turnover,N/A,N/A,N/A, Yellow Jackets turnover (shot clock violation)
14:23,,,Wendell Moore,Kyle Sturdivant,N/A, Kyle Sturdivant personal foul (Wendell Moore Jr. draws the foul)
14:11,,,Jaemyn Brakefield,N/A,N/A,Jaemyn Brakefield misses three point jump shot 
14:09,,,Michael Devoe,N/A,N/A, Michael Devoe defensive rebound
14:01,10-11,,Jose Alvarado,Kyle Sturdivant,N/A, Kyle Sturdivant makes three point jump shot (Jose Alvarado assists)
13:41,,turnover,Wendell Moore,N/A,N/A,Wendell Moore Jr. turnover (lost ball) 
13:19,,steal,Mark Williams,Kyle Sturdivant,N/A, Kyle Sturdivant turnover (bad pass) (Mark Williams steals)
13:10,,,Jaemyn Brakefield,N/A,N/A,Jaemyn Brakefield misses three point jump shot 
13:08,,,Mark Williams,N/A,N/A,Mark Williams offensive rebound 
12:55,12-11,,Mark Williams,Jordan Goldwire,N/A,Mark Williams makes two point alley-oop layup (Jordan Goldwire assists) 
12:30,,block,Mark Williams,Moses Wright,N/A, Mark Williams blocks Moses Wright's two point jump shot
12:28,,,Moses Wright,N/A,N/A, Moses Wright offensive rebound
12:22,12-13,,Moses Wright,N/A,N/A, Moses Wright makes two point jump shot
12:03,,,Joey Baker,N/A,N/A,Joey Baker misses two point jump shot 
12:02,,,N/A,N/A,N/A, Yellow Jackets defensive rebound
12:02,,,Jordan Goldwire,Jose Alvarado,N/A,Jordan Goldwire personal foul (Jose Alvarado draws the foul) 
11:46,12-16,,Moses Wright,Kyle Sturdivant,N/A, Kyle Sturdivant makes three point jump shot (Moses Wright assists)
11:22,,,Jaemyn Brakefield,N/A,N/A,Jaemyn Brakefield misses two point jump shot 
11:20,,,Moses Wright,N/A,N/A, Moses Wright defensive rebound
11:08,,,Kyle Sturdivant,N/A,N/A, Kyle Sturdivant misses three point jump shot
11:06,,,Joey Baker,N/A,N/A,Joey Baker defensive rebound 
11:00,,,Joey Baker,N/A,N/A,Joey Baker misses three point jump shot 
10:58,,,Mark Williams,N/A,N/A,Mark Williams offensive rebound 
10:56,,timeout,N/A,N/A,N/A,TV timeout 
10:54,14-16,,Wendell Moore,Jordan Goldwire,N/A,Wendell Moore Jr. makes two point layup (Jordan Goldwire assists) 
10:24,14-18,,Moses Wright,Kyle Sturdivant,N/A, Moses Wright makes two point turnaround jump shot (Kyle Sturdivant assists)
10:02,16-18,,Wendell Moore,N/A,N/A,Wendell Moore Jr. makes two point driving layup 
09:48,,,Matthew Hurt,Michael Devoe,N/A,Matthew Hurt shooting foul (Michael Devoe draws the foul) 
09:48,16-19,,Michael Devoe,N/A,N/A, Michael Devoe makes regular free throw 1 of 2
09:48,16-20,,Michael Devoe,N/A,N/A, Michael Devoe makes regular free throw 2 of 2
09:34,18-20,,Mark Williams,Matthew Hurt,N/A,Matthew Hurt makes two point alley-oop layup (Mark Williams assists) 
09:34,,,Matthew Hurt,Bubba Parham,N/A, Bubba Parham shooting foul (Matthew Hurt draws the foul)
09:34,19-20,,Matthew Hurt,N/A,N/A,Matthew Hurt makes regular free throw 1 of 1 
09:02,,steal,Wendell Moore,Moses Wright,N/A, Moses Wright turnover (bad pass) (Wendell Moore Jr. steals)
09:00,,,DJ Steward,Jose Alvarado,N/A, Jose Alvarado personal foul (DJ Steward draws the foul)
08:56,21-20,,Matthew Hurt,Jordan Goldwire,N/A,Matthew Hurt makes two point fadeaway jump shot (Jordan Goldwire assists) 
08:39,,turnover,Khalid Moore,N/A,N/A, Khalid Moore turnover (lost ball)
08:31,,,Wendell Moore,Jordan Usher,N/A, Jordan Usher personal foul (Wendell Moore Jr. draws the foul)
08:23,23-20,,Wendell Moore,N/A,N/A,Wendell Moore Jr. makes two point reverse layup 
08:00,,,Mark Williams,Jordan Usher,N/A,Mark Williams personal foul (Jordan Usher draws the foul) 
08:00,,timeout,N/A,N/A,N/A,TV timeout 
07:50,23-22,,Michael Devoe,N/A,N/A, Michael Devoe makes two point driving layup
07:33,,,Matthew Hurt,N/A,N/A,Matthew Hurt misses two point jump shot 
07:31,,,Matthew Hurt,N/A,N/A,Matthew Hurt offensive rebound 
07:24,,,DJ Steward,N/A,N/A,DJ Steward misses three point jump shot 
07:22,,,Henry Coleman,N/A,N/A,Henry Coleman III offensive rebound 
07:13,,block,Henry Coleman,Rodney Howard,N/A,Rodney Howard blocks Henry Coleman III's two point layup 
07:11,,,Jordan Usher,N/A,N/A, Jordan Usher defensive rebound
07:04,,,Henry Coleman,Michael Devoe,N/A,Henry Coleman III shooting foul (Michael Devoe draws the foul) 
07:04,23-23,,Michael Devoe,N/A,N/A, Michael Devoe makes regular free throw 1 of 2
07:04,,,Michael Devoe,N/A,N/A, Michael Devoe misses regular free throw 2 of 2
07:04,,,Jaemyn Brakefield,N/A,N/A,Jaemyn Brakefield defensive rebound 
06:52,25-23,,Wendell Moore,Jeremy Roach,N/A,Wendell Moore Jr. makes two point dunk (Jeremy Roach assists) 
06:33,,timeout,N/A,N/A,N/A, Yellow Jackets 30 second timeout
06:18,,,Moses Wright,N/A,N/A, Moses Wright misses two point jump shot
06:16,,,Bubba Parham,N/A,N/A, Bubba Parham offensive rebound
06:16,,turnover,N/A,N/A,N/A, Yellow Jackets turnover (shot clock violation)
06:04,,,DJ Steward,N/A,N/A,DJ Steward misses three point jump shot 
06:02,,,Moses Wright,N/A,N/A, Moses Wright defensive rebound
05:54,,,Michael Devoe,N/A,N/A, Michael Devoe misses three point jump shot
05:52,,,Matthew Hurt,N/A,N/A,Matthew Hurt defensive rebound 
05:31,,,Jaemyn Brakefield,N/A,N/A,Jaemyn Brakefield misses three point jump shot 
05:29,,,Michael Devoe,N/A,N/A, Michael Devoe defensive rebound
