Time Left,Score,Play Type,Player 1 Involved,Player 2 Involved,Player 3 involved,Play Result
19:45,0-2,Jumper,,,," Jumper GOOD by NCA&T's Powell, Duncan"
19:21,,3 Pointer,,,,"3 Pointer MISSED by SBU's Stephenson-moore, Tyler "
19:18,,Defensive REBOUND,,,," NCA&T Defensive REBOUND by Horton, Demetric"
19:16,,Layup MISSED,,,," Layup MISSED by NCA&T's Watson, Marcus"
19:13,,Defensive REBOUND,,,,"SBU Defensive REBOUND by Stephenson-moore, Tyler "
18:48,,Jumper MISSED,,,,"Jumper MISSED by SBU's Roberts, Kaine "
18:45,,Defensive REBOUND,,,," NCA&T Defensive REBOUND by Powell, Duncan"
18:21,0-4,Layup,,,," Layup GOOD by NCA&T's Woods, Kam "
18:08,,Turnover,,,,"SBU Turnover by Fitzmorris, Keenan "
18:08,,Turnover,,,," NCA&T Steal by Woods, Kam "
18:03,,3 Pointer,,,," 3 Pointer MISSED by NCA&T's Woods, Kam "
18:01,,Defensive REBOUND,,,,"SBU Defensive REBOUND by Policelli, Frankie "
17:42,,3 Pointer,,,,"3 Pointer MISSED by SBU's Stephenson-moore, Tyler "
17:39,,Defensive REBOUND,,,," NCA&T Defensive REBOUND by Woods, Kam "
17:27,,3 Pointer,,,," 3 Pointer MISSED by NCA&T's Powell, Duncan"
17:24,,Offensive REBOUND,,,," NCA&T Offensive REBOUND by Johnson, Austin"
17:21,0-7,3 Pointer,,,," 3 Pointer GOOD by NCA&T's Watson, Marcus"
17:21,,Assist,,,," NCA&T Assist by Johnson, Austin"
16:53,,3 Pointer,,,,"3 Pointer MISSED by SBU's Onyekonwu, Toby "
16:50,,Defensive REBOUND,,,," NCA&T Defensive REBOUND by Watson, Marcus"
16:43,,Jumper MISSED,,,," Jumper MISSED by NCA&T's Watson, Marcus"
16:39,,Offensive REBOUND,,,," NCA&T Offensive REBOUND by Horton, Demetric"
16:36,0-10,3 Pointer,,,," 3 Pointer GOOD by NCA&T's Woods, Kam "
16:36,,Assist,,,," NCA&T Assist by Horton, Demetric"
16:34,,time out,,,,SBU takes a 30-second time out. 
16:34,,Subbing out,,,,"Subbing out for SBU - Onyekonwu, Toby "
16:34,,Subbing in,,,,"Subbing in for SBU - Pettway, Tanahj "
16:17,,Jumper MISSED,,,,"Jumper MISSED by SBU's Stephenson-moore, Tyler "
16:14,,Defensive REBOUND,,,," NCA&T Defensive REBOUND by Horton, Demetric"
16:10,,3 Pointer,,,," 3 Pointer MISSED by NCA&T's Horton, Demetric"
16:06,,Defensive REBOUND,,,,"SBU Defensive REBOUND by Stephenson-moore, Tyler "
15:52,,Jumper MISSED,,,,"Jumper MISSED by SBU's Policelli, Frankie "
15:48,,Defensive REBOUND,,,," NCA&T Defensive REBOUND by Johnson, Austin"
15:45,,Foul,,,," Foul on NCA&T's Woods, Kam "
15:45,,Turnover,,,," NCA&T Turnover by Woods, Kam "
15:45,,timeout,,,,Media timeout 
15:28,,3 Pointer,,,,"3 Pointer MISSED by SBU's Stephenson-moore, Tyler "
15:25,,Defensive REBOUND,,,," NCA&T Defensive REBOUND by Woods, Kam "
15:15,0-12,Jumper,,,," Jumper GOOD by NCA&T's Powell, Duncan"
15:15,,Assist,,,," NCA&T Assist by Watson, Marcus"
14:48,,Jumper MISSED,,,,"Jumper MISSED by SBU's Fitzmorris, Keenan "
14:45,,Defensive REBOUND,,,," NCA&T Defensive REBOUND by Horton, Demetric"
14:17,0-14,Layup,,,," Layup GOOD by NCA&T's Powell, Duncan"
